trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1054,False,"{'a': 0.1, 'e': 0.1560062598637432}",20,0,3.4320813534185532,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
1055,False,"{'a': 0.1, 'e': 0.2538379413049674}",25,14,13.74778098545467,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1056,False,"{'a': 0.1, 'e': 0.3491333579443536}",35,2,-16.53641350980893,"{0: 26, 1: 2, 2: 5, 3: 0, 4: 0}",1
1057,False,"{'a': 0.1, 'e': 0.44094034947929067}",25,8,5.817970624289751,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1058,False,"{'a': 0.1, 'e': 0.5283416107977441}",25,0,-82.1110467089326,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
1059,False,"{'a': 0.1, 'e': 0.6104638573876111}",25,12,-18.16937802324721,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
1060,False,"{'a': 0.1, 'e': 0.6864865509069841}",25,0,-102.07553172080357,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 3}",0
1061,False,"{'a': 0.1, 'e': 0.7556500977319882}",30,0,-227.77918161065844,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
1062,False,"{'a': 0.1, 'e': 0.8172634385651576}",30,0,-159.86917064660307,"{0: 14, 1: 2, 2: 13, 3: 0, 4: 1}",0
1063,False,"{'a': 0.1, 'e': 0.8707109532715671}",25,0,-83.98375278489695,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
1064,False,"{'a': 0.1, 'e': 0.9154586119516546}",25,0,-76.89010059964063,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
1065,False,"{'a': 0.1, 'e': 0.9510593107915064}",20,0,-103.62522202341334,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
1066,False,"{'a': 0.1, 'e': 0.977157339376344}",20,0,-29.174189742977394,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
1067,False,"{'a': 0.1, 'e': 0.9934919348314017}",20,0,-164.56263348948235,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
1068,False,"{'a': 0.1, 'e': 0.9998998872783967}",25,0,-246.19780141019692,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
1069,False,"{'a': 0.1, 'e': 0.9963171705746642}",20,0,-117.38508344945947,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
1070,False,"{'a': 0.1, 'e': 0.9827795820412206}",25,0,-219.59440049614693,"{0: 9, 1: 6, 2: 6, 3: 1, 4: 3}",0
